method,splits,eval_rows,weighted_rmse,mean_rmse,median_rmse,mean_delta_rmse_vs_baseline,median_delta_rmse_vs_baseline,win_rate_vs_baseline,fallback_rate
router_confidence_guarded,15,57397,14.506752621756252,12.676677524767628,12.95911301436352,-0.4002494724637877,0.0,0.13333333333333333,0.0
router_guarded_prefix_holdout,15,57397,14.551722944614829,12.937686755175317,12.95911301436352,-0.13924024205609756,0.0,0.06666666666666667,0.0
self_corr_prefix_shape,15,57397,14.719686995538215,12.815917766823725,12.95911301436352,-0.26100923040769014,0.0,0.06666666666666667,0.9333333333333333
last_value,15,57397,14.76400874676707,13.076926997231414,12.95911301436352,0.0,0.0,0.0,0.0
ncc_shift__last_value,15,57397,14.76400874676707,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0
ncc_shift__recent_plateau_quantile,15,57397,14.898103785661561,13.020827656749388,9.462564690182935,-0.056099340482028325,0.004608587089816041,0.4666666666666667,1.0
recent_plateau_quantile,15,57397,14.898103785661561,13.020827656749388,9.462564690182935,-0.056099340482028325,0.004608587089816041,0.4666666666666667,0.0
gr_shift__recent_plateau_quantile,15,57397,15.303377180040172,12.969905056576058,9.462564690182935,-0.10702194065535858,-0.008652276535105585,0.5333333333333333,0.4
gr_shift__self_corr_prefix_shape,15,57397,15.669035105026609,13.352117821700865,12.394266325857796,0.2751908244694508,0.0,0.26666666666666666,0.4
gr_shift__last_value,15,57397,15.82093151562272,13.981385928873307,12.593322670509663,0.9044589316418931,0.0,0.2,0.4
damped_tail_linear_md,15,57397,15.980916415186927,14.115412422544551,13.316995548054201,1.0384854253131353,-0.033877650587774255,0.5333333333333333,0.0
damped_tail_linear_ANCC,15,57397,16.014433362726777,14.380687918857884,13.770189730852156,1.303760921626465,0.5217715885040874,0.4666666666666667,0.0
damped_tail_linear_ASTNL,15,57397,16.01443336272743,14.380687918858559,13.770189730852353,1.3037609216271462,0.5217715885072165,0.4666666666666667,0.0
damped_tail_linear_ASTNU,15,57397,16.014433362727466,14.380687918859014,13.770189730852211,1.3037609216275992,0.5217715885044454,0.4666666666666667,0.0
damped_tail_linear_EGFDL,15,57397,16.014455658648732,14.380706248097686,13.770221884198405,1.3037792508662691,0.5217715885030119,0.4666666666666667,0.0
damped_tail_linear_EGFDU,15,57397,16.01451007630671,14.380722807482082,13.770034989657798,1.3037958102506655,0.5217715885037721,0.4666666666666667,0.0
damped_tail_linear_BUDA,15,57397,16.01458440783874,14.380764870074962,13.770153981761695,1.3038378728435442,0.5217715885048637,0.4666666666666667,0.0
router_prefix_holdout_best,15,57397,16.268076676883563,14.371814042543296,12.95911301436352,1.294887045311881,0.0,0.26666666666666666,0.0
gr_shift__damped_tail_linear_ANCC,15,57397,16.653558264906533,14.671199015250401,13.670303115130116,1.5942720180189838,0.5217715885040874,0.4666666666666667,0.26666666666666666
gr_shift__damped_tail_linear_ASTNL,15,57397,16.65355826490728,14.67119901525105,13.670303115130482,1.5942720180196284,0.5217715885072165,0.4666666666666667,0.26666666666666666
gr_shift__damped_tail_linear_ASTNU,15,57397,16.6535582649073,14.671199015250954,13.670303115130231,1.5942720180195384,0.5217715885044454,0.4666666666666667,0.26666666666666666
gr_shift__damped_tail_linear_EGFDL,15,57397,16.65357764588612,14.671218329797219,13.670360078625421,1.5942913325657997,0.5217715885030119,0.4666666666666667,0.26666666666666666
gr_shift__damped_tail_linear_EGFDU,15,57397,16.653647161194606,14.671229924090689,13.670025738635298,1.5943029268592743,0.5217715885037721,0.4666666666666667,0.26666666666666666
gr_shift__damped_tail_linear_BUDA,15,57397,16.65373982178352,14.671280454112528,13.670239586885778,1.5943534568811122,0.5217715885048637,0.4666666666666667,0.26666666666666666
damped_tail_linear_Z,15,57397,16.92390730020971,14.73786742937694,15.223744406937502,1.660940432145525,-0.12400215881614862,0.5333333333333333,0.0
gr_shift__damped_tail_linear_Z,15,57397,17.079598460704972,15.13865512382595,13.719157214036267,2.061728126594534,0.5082414303792255,0.4666666666666667,0.13333333333333333
gr_shift__damped_tail_linear_md,15,57397,17.23433013935912,15.519942704688193,13.312553354715162,2.4430157074567758,3.8413363879971207,0.4,0.13333333333333333
