question_id,date_utc,question,why_now,candidate_options,selected_option,selection_reason,evidence_needed,result,next_question,status
Q20260629-01,2026-06-29,Does aggressive daily submission usage improve calibration enough to justify using 4-5 slots?,"Public score is the only true feedback signal, but submissions are capped.",Conservative 1-2 submissions per day | aggressive 4-5 designed submissions per day | mixed schedule near deadlines,aggressive 4-5 designed submissions per day,More public-score observations improve low-dimensional calibration if candidates are audited and non-duplicate.,daily submission ledger plus public scores,,Define the first daily batch template.,open
Q20260629-02,2026-06-29,What should drive each batch of work?,Avoid disconnected parameter tweaks and public leaderboard overfit.,Ad hoc candidate edits | question-driven batch loop | fixed model-only roadmap,question-driven batch loop,Questions force each submission to answer a reusable uncertainty and produce the next decision.,goal file review and future batch records,"Goal file updated with batch-level question loop, option selection rubric, and review cadence.",Create first concrete candidate question backlog.,complete
Q20260629-03,2026-06-29,What should the first executable batch test now that static replay is known risky?,"Two same-day static Sunny notebooks completed with blank public score, while Henry hidden-compatible retry is still pending.",Repeat static replay | run a hidden-compatible baseline reproduction under joezzzzz | wait for Henry only | prepare GR/typewell structural candidate,run a hidden-compatible baseline reproduction under joezzzzz plus prepare GR/typewell structural candidate,A reproducible baseline kernel under the active account is needed before aggressive batches; static replay should be blocked and Henry pending should not stop independent preparation.,"kernel push/status, output audit, and updated ledger",Pushed joezzzzz/rogii-lucifer-baseline-repro-codex version 1; kernel COMPLETE; output downloaded; local pre-submit audit PASS; official submission 54174151 PENDING.,"Poll official submission 54174151; if it reproduces the 7.235-ish baseline, close baseline reproduction and use it as the active-account anchor.",open
Q20260629-04,2026-06-29,Which first structural candidate should we prepare while the baseline reproduction runs?,We need non-parameter ideas to avoid overfitting blend weights and to support a future 4-5 submission batch.,Light GR/typewell correction on baseline | pure GR alignment path search | per-well gate between baseline and GR alignment | artifact-stack branch,light GR/typewell correction on baseline plus per-well gate design,A light correction is lower risk and can be audited against baseline; the gate design can decide whether to apply it only on wells with strong alignment evidence.,"pseudo-CV, shape audit, distance to 7.235 baseline, and one future public score if it passes","Added Q20260629-B02 and Q20260629-B03 to the prioritized backlog; wrote GR/typewell plan; implemented local builder; generated alpha 0.10 candidate with audit PASS, 2 corrected wells, RMSE delta vs baseline 0.3495, risk near_duplicate_low_upside.",Wait for 54174151 score before deciding whether to run alpha 0.20 or port the builder to a Kaggle notebook.,open
Q20260629-05,2026-06-29,How should the goal enforce continuous question-driven strategy decisions?,"The previous goal described the loop but needed a concrete mechanism for generating questions, comparing options, choosing a batch, and reviewing the plan.",Keep informal notes only | add a prioritized question backlog | hardcode a fixed model roadmap,add a prioritized question backlog plus branch rules and model idea sources,A live backlog keeps the work adaptive while preventing vague parameter-only experiments. Branch rules make each result immediately actionable.,"goal file review, backlog rows, README reference","Updated the goal with continuous question engine, model idea sources, anti-overfit rules, result branch rules, and Batch A-D roadmap; added experiments/question_backlog.csv.",Use the backlog as the entry point for the next execution batch.,complete
Q20260629-06,2026-06-29,What should use the fifth official submission slot while baseline and Henry scores are pending?,"The daily target is 4-5 informative submissions, and the GR alpha 0.10/0.20 probes are safe but too close to baseline to be high-value fifth-slot candidates.",Submit GR alpha 0.10 | submit GR alpha 0.20 | submit standalone fleongg pretrained branch | wait without using fifth slot,standalone fleongg pretrained branch via a dedicated branch kernel,"Fleongg branch has format audit PASS and RMSE delta 3.6812 vs baseline, making it more informative than GR alpha probes; direct middle-file submission failed with Kaggle 400 so the correct route is a kernel whose final output is submission.csv.","kernel status, output audit, official public score","Version 1 completed but final submission.csv matched baseline and was rejected before official submission; version 2 fixed the override, final submission.csv equaled the fleongg branch, audit PASS, and official submission 54174876 is PENDING.",Poll submission 54174876; compare score against 54174151 once both finish.,open
Q20260629-07,2026-06-29,How should Codex turn the goal into a continuous decision loop?,"The user asked for a system where Codex repeatedly proposes concrete questions, compares multiple options, chooses the best option set, executes a batch, then reviews the whole project and generates new decisions.",Informal conversation only | detailed goal-file protocol | external task board | fixed model roadmap,detailed goal-file protocol with backlog and decision-log enforcement,The goal file is the durable contract already used by the repo; adding a concrete protocol keeps future work adaptive without creating a separate process silo.,"goal file protocol, README reference, backlog control row, execution log update","Added Codex Decision Protocol with required question categories, option lanes, scoring rule, batch shape, review contract, outcome branching, and human escalation boundary; added Q20260629-B11 as an active process-control backlog row.",Apply this protocol to the next pending-score review and reference-notebook preflight batch.,complete
Q20260629-08,2026-06-29,Which reference notebook should be prepared while official scores are still pending?,"Baseline 54174151, Henry 54162612, and fleongg 54174876 are still pending, so dependent calibration should wait while independent preflight work continues.",Run Degnonguidi 7.159 no-submit kernel | run Baidalin 7.201 no-submit kernel | wait for scores only | patch audit before any reference run,run Degnonguidi 7.159 no-submit kernel and hold Baidalin until patched,"Degnonguidi passed source audit and has higher upside as a 7.159 reference; Baidalin failed source audit on hardcoded visible well and unsafe train/test TVT_input row copy, so running it now would risk repeating hidden-compatibility mistakes.","source audit JSON, metadata review, Kaggle kernel status, later output audit",Degnonguidi source audit PASS; forked to joezzzzz/rogii-degnonguidi-7159-preflight-codex and pushed version 1; kernel status RUNNING. Baidalin source audit FAIL and is held for fix-required review.,"When Degnonguidi completes, download output and run pre-submit/distance audit; if it fails, add the failure to audit rules before choosing the next reference.",open
Q20260629-09,2026-06-29,What validation work should proceed while official scores and Degnonguidi preflight are pending?,"External feedback is still pending, but the next completed kernel output will need stronger pre-submit checks before any official slot is spent.",Wait only | implement deep pre-submit audit | start pseudo-test CV | patch Baidalin first,implement deep pre-submit audit,Deep audit is immediately reusable for any completed output and directly reduces the risk of submitting physically implausible or duplicate candidates; pseudo-CV is still important but larger in scope.,"py_compile, baseline deep audit, fleongg deep audit, updated backlog/report",Extended scripts/pre_submit_audit.py with data-dir shape metrics and reference-distance checks; baseline self-distance RMSE 0.0; fleongg distance to baseline RMSE 3.9210524667990643; both audits PASS with risk_status PASS.,Run deep audit on Degnonguidi output when kernel completes; then add standard known-good/known-bad reference bundle.,complete
Q20260629-10,2026-06-29,How should we handle the Degnonguidi preflight v1 runtime failure?,"Degnonguidi v1 failed before producing output, but the error was a localized feature-schema mismatch rather than source-audit or competition-rule failure.",Block Degnonguidi reference | port inference core later | patch missing Pipeline A test features with train medians and rerun | switch to Baidalin despite audit failure,patch missing Pipeline A test features with train medians and rerun,The missing columns come from train artifact feature schema not being present in the freshly built test table; median filling is a conservative runtime guard that lets the no-submit preflight test whether the rest of the notebook can produce an auditable output.,"kernel log, source audit after patch, Kaggle kernel status","Downloaded v1 log; failure was KeyError at X_test_A = test_df_A[features_A] for beam_vcons_d/beam_vloose_d/beam_stiff_d and td* columns. Patched the ignored working notebook to fill missing test features from train medians, source audit remained PASS, and pushed version 2; v2 later reached a new pickle dependency failure tracked in Q20260629-12.",Q20260629-12 handles the pickle dependency failure.,complete
Q20260629-11,2026-06-29,How should reference-distance checks be standardized before future output audits?,"Deep audit supports ad hoc --reference arguments, but future kernel outputs need a stable known-good/known-bad bundle so distance checks are consistent across batches.",Keep ad hoc references only | add CSV reference registry | bake paths into Python code,add CSV reference registry,The CSV keeps reference labels/scores/roles reviewable without hardcoding experiment-specific paths into the audit script. Missing local artifacts can be skipped as warnings while available references still compute distances.,"py_compile, registry audit on baseline output, README/goal references",Added experiments/reference_submission_registry.csv and --reference-registry support in scripts/pre_submit_audit.py. Baseline registry audit PASS; current_best distance RMSE 0.0 and fleongg distance RMSE 3.9210524667990643; unavailable historical artifact paths were skipped as warnings.,Use --reference-registry for every completed kernel output before official submission.,complete
Q20260629-12,2026-06-29,How should we handle the Degnonguidi preflight v2 pickle failure?,"Version 2 fixed the feature-schema mismatch and reached trainer loading, but artifact pickle files require a koolbox module that is unavailable in the rebuilt notebook runtime.",Block Degnonguidi reference | install/use hidden koolbox package | register visible CVTrainer as koolbox.Trainer compatibility stub | train from scratch,register visible CVTrainer as koolbox.Trainer compatibility stub,The notebook already defines a visible CVTrainer replacement intended to match the original Trainer contract; registering it under the expected module name is the smallest no-internet/no-private-source fix for unpickling artifact trainers.,"v2 log, source audit after patch, Kaggle kernel status","Downloaded v2 log; feature-schema patch worked, then joblib.load failed with ModuleNotFoundError: No module named 'koolbox'. Added a koolbox.Trainer compatibility stub mapped to CVTrainer, source audit remained PASS, and pushed version 3; v3 later failed on koolbox.trainer submodule compatibility, which is tracked in Q20260629-14.",Q20260629-14 handles the submodule failure and v4 polling.,complete
Q20260629-13,2026-06-29,How should Kaggle official submission status stay synced while scores are pending?,"Manual ledger edits are error-prone, and Kaggle showed an older completed submission missing from our local submission ledger.",manual copy from Kaggle page | script that reads Kaggle CLI CSV | append only after scores appear | ignore missing historical rows,script that reads Kaggle CLI CSV and optionally appends missing rows,"The Kaggle CLI already returns stable submission IDs/statuses/scores, so a small sync utility gives repeatable state without storing credentials or generated outputs.","py_compile, dry-run against Kaggle CLI, non-dry append-missing run","Added scripts/update_submission_ledger.py. Dry-run read 12 Kaggle rows, found one missing historical row 54099186, and non-dry --append-missing added it as needs_review with complete status and blank score.",Use the sync command during every polling pass before re-ranking pending candidates.,complete
Q20260629-14,2026-06-29,How should we handle the Degnonguidi preflight v3 pickle submodule failure?,"Version 3 registered koolbox.Trainer, but joblib failed because the pickle references koolbox.trainer and Python did not consider koolbox a package.",block Degnonguidi | port inference core only | register koolbox as package plus koolbox.trainer.Trainer/CVTrainer | train from scratch,register koolbox as package plus koolbox.trainer.Trainer/CVTrainer,"The failure is another narrow unpickling compatibility issue, and the visible CVTrainer replacement can satisfy both module paths without changing model logic or using internet.","v3 log, source audit after patch, Kaggle v4 status","Downloaded v3 log; failure was ModuleNotFoundError: No module named 'koolbox.trainer'; 'koolbox' is not a package. Patched ignored working notebook to register both koolbox and koolbox.trainer, source audit PASS, and pushed version 4; v4 later failed on the deeper koolbox.trainer.trainer module path tracked in Q20260629-16.",Q20260629-16 handles the nested module path failure and v5 polling.,complete
"Q20260629-15","2026-06-29","What local validation should be added before the next model-family submission?","The backlog required repeated pseudo-test splits so we can judge candidate ideas before spending scarce official submissions.","manual notebook experiments | reusable pseudo-test CV script | wait for public scores only | rely on output distance checks","reusable pseudo-test CV script with native-prefix and prefix-fraction splits","A script produces repeatable evidence and can be rerun after every method-family change; waiting for public scores does not help build independent local validation.","py_compile, sample train run, generated scores/summary/report","Added scripts/pseudo_test_cv.py and generated experiments/pseudo_test_cv_scores.csv, experiments/pseudo_test_cv_summary.csv, and reports/pseudo_test_cv_report.md. Sample run: last_value weighted RMSE 14.764; gr_shift_tail_linear 50.038; tail_linear_md 51.699; best_strat_linear 100.783. Current simple movement methods do not beat the conservative last_value baseline.","Q20260629-B12 asks for a plateau-aware or stricter-gated method before another related official submission.","complete"
"Q20260629-16","2026-06-29","How should we handle the Degnonguidi preflight v4 nested pickle module failure?","Version 4 registered koolbox.trainer, but joblib failed because the pickle references koolbox.trainer.trainer and Python did not consider koolbox.trainer a package.","block Degnonguidi now | port inference core only | register nested koolbox.trainer.trainer stub | train from scratch","register nested koolbox.trainer.trainer stub","This is still a narrow unpickling path issue, and registering the observed nested module path is cheaper than abandoning a high-upside reference before it reaches model inference.","v4 log, source audit after patch, Kaggle v5 status","Downloaded v4 log; failure was ModuleNotFoundError: No module named 'koolbox.trainer.trainer'; 'koolbox.trainer' is not a package. Patched ignored working notebook to register koolbox, koolbox.trainer, and koolbox.trainer.trainer; source audit PASS; pushed version 5; v5 status RUNNING.","Poll v5; if it fails on another nested module path or object contract, choose between inference-core port and blocking Degnonguidi.","open"
"Q20260629-17","2026-06-29","How should Henry TabICL/v10 score change the next batch?","Submission 54162612 completed after being pending and can now calibrate artifact-stack trust.","promote to ensemble pool | use as negative calibration | mark hidden-format risk | ignore because baseline/fleongg pending","use as negative calibration","The notebook was hidden-compatible enough to score, but public score 13.453 is much weaker than the current 7.235/7.263/7.703 references, so the raw artifact stack should not receive more slots without a structural fix.","Kaggle submission status, public score, ledger update","Synced submission ledger from Kaggle; 54162612 is COMPLETE with public score 13.453. Updated submission_ledger, daily_submission_plan, backlog, README, and execution log.","Focus future artifact-stack work on alignment/model fixes, not raw replay or simple promotion.","complete"
